цууны	цуу @@ы
заагчид	заах @@гч @@д
эргүүгээр	эргэүү @@ээр
ёроолын	ёроол @@ын
бүрэлбаанд	бүрэлбаа @@д
санаачлагчаар	санаа @@члах @@гч @@аар
идеализмыг	идеализм @@ыг
нөмрөг	нөмрөг
ирвэгнэх	ирвэг @@нэх
ургацгийг	ургах @@ц @@г @@ийг
цогцолборт	цогцлох @@бор @@т
бүрээсний	бүрээс @@ий
цуглуулга	цуг @@луулах @@га
нийлбэрээр	нийлэх @@бэр @@ээр
исэлтээс	исэлт @@ээс
ууршилт	уур @@ших @@лт
адилсалтай	адил @@сах @@л @@тай
эргүүлэгтэй	эргэх @@үүлэг @@тэй
мэргэжилтнийг	мэргэжих @@лт @@ийг
хямдралаас	хямд @@рах @@л @@аас
хатуулга	хатуулах @@га
уралдаантай	уралдах @@аан @@тай
үүсэх	үүсэх
чуулгыг	чуулга @@ыг
сонсдог	сонс @@дог
адилтгах	адил @@тгах
хардалтын	хардах @@лт @@ын
ухуулах	ухах @@уулах
ихэсгэх	ихэсэг @@х
жараахайг	жараахай @@г
тэрслэгчээс	тэрс @@лэх @@гч @@ээс
дамаар	дам @@аар
тулаан	тулах @@аан
продакшны	продакшн @@ы
егөөдөлтэй	егөө @@дөх @@л @@тэй
компанийг	компан @@ийг
хамтатгалтай	хамт @@тгах @@л @@тай
алдаанаас	алдах @@аа @@аас
үүргэвчээр	үүрэг @@вч @@ээр
орцын	орц @@ын
хонийг	хонь @@ийг
давтлагаас	давтах @@лага @@аас
туяаны	туяа @@ы
угтах	угтах
хөдсийг	хөдөс @@ийг
оролцоогоор	орлох @@цоо @@оор
суудлаа	суух @@дал @@аа
урианаас	урих @@аас
бэхжилтээс	бэх @@жих @@лт @@ээс
гэрээгээр	гэрээ @@ээр
гайхамшгийг	гайхамшиг @@ийг
дуулгыг	дуу @@лаг @@ыг
найруулгаас	найрах @@уулах @@га @@аас
доргиогоо	доргио @@оо
хавтсаар	хавтс @@аар
аймаг	аймаг
дэнс	дэнс
үүсвэр	үүс @@вэр
харамсалд	харамсах @@л @@д
алхаагаа	алхаа @@аа
барзгар	барзгар
ачаагаар	ачиа @@аар
ятгалгад	ятгах @@лга @@д
гүйцэтгэлийн	гүйцэд @@гэх @@л @@ийн
цэцэрлэгжүүлэх	цэцэрлэг @@жих @@үүлэх
аргыг	арга @@ыг
найдах	найдах
хошингоос	хошин @@оос
шийдэд	шийд @@д
нүхэнд	нүх @@д
гуалингаар	гуалин @@аар
янз	янз
хоримогц	хоримогц
исэлтээ	исэлт @@ээ
лазераар	лазер @@аар
биллиардын	биллиард @@ын
хүрмээ	хүрэм @@ээ
нийлүүлэлтээс	нийлэх @@үүлэх @@лт @@ээс
эмнэлгээс	эмнэх @@лэг @@ээс
жорлонгоос	жорлон @@оос
лимбэдмээр	лимбэ @@дэм @@ээр
халамжийн	халамж @@ийн
будах	будах
атомын	атом @@ын
өнгөлөлгүй	өнгө @@лөх @@лгүй
байлдаан	байлдах @@аан
тосоор	тос @@оор
уянга	уянга
цөөрмөө	цөөрм @@өө
хориглолтоор	хорих @@глох @@лт @@оор
галууг	галуу @@г
довцгоо	довцг @@оо
зуучлагчаар	зууч @@лах @@гч @@аар
сургуулийг	сургах @@ууль @@ийг
ангиллаас	анги @@л @@аас
шөрмөсний	шөрмөс @@ий
сүлжих	сүлжих
сэтгүүлчийн	сэтгэх @@үүл @@ийн
философийг	философи @@ийг
зохиомжид	зохиох @@мж @@д
савхдангаа	савх @@дах @@нгаа
тэсвэрийг	тэсэх @@вэр @@ийг
урагшилцгаа	урагш @@лах @@цгаа
философиор	философи @@ор
хулмастай	хулмас @@тай
зөрөлдөөний	зөрөлдөх @@өөн @@ий
микробиологио	микро @@биологи @@о
трамвайтай	трамвай @@тай
галлалтад	гал @@лах @@лт @@д
ёжлолтой	ёж @@лох @@л @@той
төрийн	төр @@ийн
шилбэнд	шилбэ @@д
бясалгалтай	бясах @@лгах @@л @@тай
гэрлэлтийн	гэр @@лэх @@лт @@ийн
чидунд	чидун @@д
студиэ	студи @@э
майонезад	майонез @@д
ажиллазна	ажилалзан
гаргалттай	гаргах @@лт @@тай
үйлчилгээтэй	үйл @@члэх @@гээ @@тэй
олборлолтыг	олбор @@лох @@лт @@ыг
цавинд	цавь @@д
гацуурын	гацуур @@ын
хориг	хориг
гараа	гар @@аа
ферментээр	фермент @@ээр
тэсвэртэй	тэсэвэр @@тэй
түрээсийг	түрээс @@ийг
өрцнөөс	өрц @@өөс
хавраа	хавар @@аа
бэсрэгийг	бэсрэг @@ийг
чиргүүл	чирэх @@гүүл
холестерин	холестерин
төслийг	төсөл @@ийг
асфальт	асфальт
зангиагаар	зангиа @@аар
ёсгүй	ёс @@гүй
товчлолтой	товч @@лох @@л @@той
босуулаа	босох @@уул @@аа
цөмчөөсэй	цөмч @@өөсэй
баганаа	багана
бүртгэлээр	бүртгэх @@л @@ээр
фронтоо	фронт @@оо
дархлаагаар	дархлаа @@аар
боолтоо	боох @@лто
ламптай	ламп @@тай
тасалбарын	тас @@лах @@бар @@ын
бөглөө	бөглөө
бүтэлгүйтлээ	бүтэх @@лгүй @@тэл
хагарал	хагарах @@л
хоригоор	хорих @@г @@оор
ухуулгаар	ухах @@уулага @@аар
эрдэмтнийг	эрдэм @@тэн @@ийг
компаниас	компани @@ас
хурлаас	хурал @@аас
шивнэх	шивнэх
баашны	бааш @@ы
хүндрэлийг	хүнд @@рэх @@л @@ийг
хүйтнийг	хүйтэн @@ийг
хутгаа	хутга @@аа
тэлэлтээр	тэлэх @@лт @@ээр
хэмжээгээ	хэмжих @@ээ @@ээ
албаждаг	алба @@жих @@даг
канон	канон
зогсоолоос	зогсох @@оох @@л @@оос
видеог	видео @@г
амьдчилах	амь @@д @@члах
таамаглалыг	таах @@маг @@лах @@л @@ыг
хохирлыг	хохирох @@л @@ыг
дараалах	дараа @@лах
луугаа	луу @@аа
сайжруулалтаар	сайн @@жрах @@уулах @@лт @@аар
ирмэгтэй	ирмэг @@тэй
амиа	ами @@а
шүтээн	шүтэх @@ээн
хуваагдлаас	хуваах @@гдах @@л @@аас
дэвших	дэвших
зохицлыг	зохих @@цох @@л @@ыг
өндөгний	өндөг @@ий
хачирхал	хачирхах @@л
тогтолцоо	тогтлох @@цоо
шилэх	шилэх
тэтгэмжийг	тэтгэх @@мж @@ийг
хурдасгуурт	хурд @@сгах @@уур @@т
гаансыг	гаанс @@ыг
сумангаар	сум @@н @@ааар
чадвараа	чадавар @@аа
мастерын	мастер @@ын
хэвшлээ	хэвшил @@ээ
өрсөлдөгчөө	өрсөх @@лдөх @@гч @@өө
томдох	томдох
ээтийвэл	ээтийх @@вэл
хурдасгал	хурд @@сгах @@л
ноогдлоос	ноогдох @@л @@оос
үдэшлэгээс	үдэшлэг @@ээс
талийгаач	талийх @@гаач
амбаартай	амбаар @@тай
хүнээ	хүн @@ээ
эвлэрээсэй	эв @@лэх @@рээсэй
дагалдагчаар	дага @@лдах @@гч @@аар
хэрэгтнээ	хэрэг @@тэн @@ээ
асрыг	асар @@ыг
цуу	цуу
түрээсний	түрээс @@ий
мөнхөжье	мөнх @@жих @@е
илтгэлийн	илтгэх @@л @@ийн
хүсэлтэй	хүсэх @@л @@тэй
талбараар	талбар @@аар
наймааны	наймаа @@ы
ажиглагчаас	ажих @@г @@лах @@гч @@аас
орлох	ор @@лох
зээрэнцгээ	зээрэнцгэ
хорив	хорих @@в
саадтай	саад @@тай
хөдөлмөрийг	хөдлөх @@мөр @@ийг
лампнаас	ламп @@аас
булангаас	булан @@аас
дамчин	дам @@чин
сэдэгчийг	сэдэх @@гч @@ийг
майонезын	майонез @@ын
хувирлыг	хувирах @@л @@ыг
сэрвээний	сэрвээ @@ий
чиргүүлийг	чирэх @@гүүл @@ийг
тусгалд	тусах @@гал @@д
эвэрлэгийг	эвэр @@лэг @@ийг
соруул	соруул
доллартой	доллар @@той
таваас	тав @@аас
дизайнер	дизайнер
тавиураас	тавих @@уур @@аас
ардчиллаар	ард @@члах @@л @@аар
дайралтыг	дайн @@рах @@лт @@ыг
бэл	бэл
янжуурын	янжуур @@ын
ваарт	ваар @@т
тэгшитгэл	тэгш @@тгэх @@л
ханшийн	ханш @@ийн
өрцөнд	өрц @@д
үнэгтэй	үнэг @@тэй
зөрөлдөөнөөр	зөрөх @@лдөх @@өөн @@өөр
тангонд	танго @@д
хяналтын	хянах @@лт @@ын
хэрэглэх	хэрэг @@лэх
залгаасаар	залга @@аас
паспортоо	паспорт @@оо
эрлээ	эрэл @@ээ
графиктай	график @@тай
хоромд	хором @@д
түших	түших
нумтай	нум @@тай
наймаачинд	наймаа @@чин @@д
ахлагчаас	ах @@лах @@гч @@аас
эдэлгээ	эд @@лэх @@г @@ээ
хөхөвч	хөх @@вч
судлаачаа	судлах @@аач @@а
араанаас	араа @@аас
хэвлэгчээс	хэв @@лэх @@гч @@ээс
дэлгэрүүлэх	дэлгэх @@рэх @@үүлэх
томоогүй	томоо @@гүй
азотын	азот @@ын
дагаврын	дагавар @@ын
мурийх	мурийх
гомдлоо	гомдох @@л @@оо
хуудуутай	хуудах @@уу @@тай
уршигтай	уршиг @@тай
хараалыг	хараах @@л @@ыг
үсэглэлээ	үсэг @@лэх @@л @@ээ
инженертэй	инженер @@тэй
сүнсээр	сүнс @@ээр
мэнгэнээс	мэнгэ @@ээс
зөрчигч	зөрчих @@гч
генералаа	генерал @@аа
томилгоотой	томилох @@гоо @@той
үрчлээтэй	үрчлэх @@ээ @@тэй
андгай	андгай
медалиас	медаль @@ас
хөндийрье	хөндийнер
холестеринтой	холестерин @@той
мөнгөөр	мөнгө @@өөр
хөнгөхөн	хөнгөх @@өөн
ёсолгоонд	ёс @@лгоо @@д
байг	байг
ритм	ритм
хамтрагчаас	хамтрах @@гч @@аас
махаар	мах @@аар
эвийн	эв @@ийн
ардчиллын	ард @@члах @@л @@ын
шившигтэй	шившиг @@тэй
булчинтай	булчин @@тай
дэлгэцэд	дэлгэх @@ц @@д
сонсогчийг	сонсох @@гч @@ийг
магтаалаас	магтах @@аал @@аас
уранаа	ур @@н @@аа
бөөгнөрлөөр	бөөгнөрөх @@л @@өөр
капитализмд	капитализм @@д
дэгээнээс	дэгээ @@ээс
хөлслөгчийн	хөлс @@лөх @@гч @@ийн
фронтод	фронт @@д
организмтой	организм @@той
холдуулах	холдох @@уулах
мануухайг	мануухай @@г
мэнгэтэй	мэнгэ @@тэй
онош	онош
туслалцааны	тус @@лах @@лцах @@аа @@ы
нэмэгдүүлэх	нэмэх @@гдэх @@үүлэх
магтаалаар	магтаал @@аар
ургамлыг	ургах @@мал @@ыг
хандлагын	хандалага @@ын
ходоодноос	ходоод @@оос
давтамжид	давтах @@мж @@д
жүжигчинтэй	жүжиг @@чин @@тэй
гарын	гар @@ын
давхаргаас	давхар @@гаас
судраар	судар @@аар
зорилго	зорих @@лго
шилбэтэй	шилбэ @@тэй
стратегиа	стратеги
шоглоомыг	шог @@лох @@оом @@ыг
шаналалтай	шаналах @@л @@тай
бүлэгтэй	бүлэг @@тэй
бодисоор	бодис @@оор
үед	үе @@д
үнэлэмжээр	үнэ @@лэх @@мж @@ээр
авьяастанд	авьяас @@тан @@д
бондын	бонд @@ын
гайхшруулах	гайх @@ших @@уулах
шүүхийн	шүүх @@ийн
паалантай	паалан @@тай
лууг	луу @@г
баталгааны	батал @@гаа @@ы
алтнаас	алт @@аас
оршуулах	орших @@уулах
сэжигтнийг	сэжиг @@тэн @@ийг
цэргээ	цэрэг @@ээ
чимгийн	чимэг @@ийн
найрамдлаас	найрах @@мдал @@аас
эрхлэгчээ	эрхлэх @@гч @@ээ
философийн	философи @@ийн
харвин	харвин
хоригоос	хорих @@г @@оос
гулсуураа	гулсах @@уур @@аа
давтамжтай	давтах @@мж @@тай
баримтын	барих @@мт @@ын
ёгтлох	ёгт @@лох
бэлтгэлээс	бэлтгэх @@л @@ээс
шохойн	шохой @@н
даяаршцгаа	даяар @@ших @@цга
асарт	асар @@т
дарамттай	дарам @@тай
хайлшны	хайлах @@ш @@ы
байгууллагатай	байх @@уулах @@лага @@тай
сэтгэлийн	сэтгэх @@л @@ийн
явуулгыг	явах @@уулага @@ыг
нумыг	нум @@ыг
түгээсэй	түг @@ээсэй
таславч	тас @@лах @@вч
адилслаар	адил @@сах @@л @@аар
дарангуйлагчийг	дарах @@нгуй @@лах @@гч @@ийг
гуйлгачинд	гуйх @@лгч @@д
эс	эс
овоо	ов @@оо
гишүүнээс	гишүүн @@ээс
баримжаатай	барих @@мжаа @@тай
эргэлзэлтэй	эргэлзэх @@л @@тэй
бэрээс	бэр @@ээс
бөгж	бөгж
далилзсан	далий @@лзан
судалгаанд	судлах @@гаа @@д
жолоодох	жолоо @@дох
эзлэгч	эзлэх @@гч
худгийг	худаг @@ийг
адилслыг	адил @@сах @@л @@ыг
дээсээр	дээс @@ээр
этгээдтэй	этгээд @@тэй
маажинг	маажин @@г
авхуулсан	авах @@уулас @@н
бадрах	бадрах
хамтрагчаар	хамтрах @@гч @@аар
нийгэмлэг	нийгэм @@лэг
ялагдагчийн	ялагдах @@гч @@ийн
атираатай	атираа @@тай
нум	нум
гөжүүд	гөжүү @@д
гавьяа	гавьяа
харьтын	харьт @@ын
сүүдрэвчид	сүүдэр @@вч @@д
зурвасыг	зурах @@вс @@ыг
жагсаал	жагсах @@аал
элэгдлийг	элэг @@дэх @@л @@ийг
хугарлаа	хугарах @@л @@аа
гүүр	гүүр
нуурт	нуур @@т
эвдчээсэй	эвдэх @@ч @@ээсэй
мэндчилгээтэй	мэнд @@члэх @@гээ @@тэй
төөрөгдлөөс	төөрөх @@гдөх @@л @@өөс
хөшүүргээ	хөших @@үүрэг @@ээ
тэргүүлэгчээс	тэргэх @@үүлэх @@гч @@ээс
номоор	ном @@оор
тэнүүлд	тэнүүл @@д
байлдагч	байлдах @@гч
гаслангийн	гаслан @@ийн
шувуугаар	шувуу @@аар
тархалтаас	тарах @@х @@лт @@аас
экосистемээс	экосистем @@ээс
чангарлаар	чанга @@рах @@л @@аар
ханцуйнаас	ханцуй @@аас
агааржуулагчаа	агаар @@жих @@уулах @@гч @@а
өөхний	өөх @@ий
адыг	ад @@ыг
боловсролт	боловсрох @@лт
цохилтыг	цохих @@лт @@ыг
акт	акт
дэртэй	дэр @@тэй
тэвчээрээ	тэвчих @@ээр @@ээ
удирдамж	удирдах @@мж
гэрэлтүүлэгт	гэрэл @@тэх @@үүлэх @@г @@т
цавиа	цавь @@а
хөхтэй	хөх @@тэй
тивтэй	тив @@тэй
асуудалд	асуух @@дал @@д
нягтшилтай	нягт @@ших @@л @@тай
дүрслэлээр	дүрс @@лэх @@л @@ээр
мэдээний	мэдээ @@ий
үерхэлд	үерхэх @@л @@д
гэдэсний	гэдэс @@ий
лактай	лак @@тай
шилжилтээ	шилжих @@лт @@ээ
шүтэлцээгээр	шүтэх @@лцээ @@ээр
хийсвэрлэлд	хийсвэр @@лэх @@л @@д
капитализмаа	капитализм @@аа
шилэлт	шилэл @@т
адмиралтай	адмирал @@тай
титмийг	титэм @@ийг
цэрдээ	цэрд @@ээ
зүйрлэх	зүйр @@лэх
диаметрт	диаметр @@т
хамсаатан	хам @@саа @@тан
тохиролцоог	тохирох @@лцох @@оо @@г
чухал	чухал
видеоноос	видео @@оос
барменээс	бармен @@ээс
дэлгэрэлтээр	дэлгэрэх @@лт @@ээр
ширгийг	ширэг @@ийг
өнгөнд	өнгө @@д
зодооноо	зодох @@оо @@оо
зоригийн	зориг @@ийн
хорголжийн	хорголж @@ийн
тактиктай	тактик @@тай
урвагчаас	урвах @@гч @@аас
даамжралаар	даамжрах @@л @@аар
могойтой	могой @@той
мөргөлчинтэй	мөргөх @@л @@чин @@тэй
лавлахын	лав @@лах @@ын
байршлаар	байр @@ших @@л @@аар
индексийг	индекс @@ийг
хондлойд	хондлой @@д
сейф	сейф
үнсэлтээ	үнсэх @@лт @@ээ
амлалтаа	амлах @@лт @@аа
бодролоор	бодорох @@л @@оор
ховилтой	ховил @@той
даажин	даажин
сульдах	суль @@дах
амтанд	ам @@т @@д
шүүмжээс	шүүх @@мж @@ээс
хэлцлээр	хэлцэх @@л @@ээр
мөрдөстэй	мөрдөс @@тэй
хамгааллыг	хамгаалах @@л @@ыг
төмсөгтэй	төмсөг @@тэй
гахиурыг	гахиур @@ыг
ханш	ханш
сүнстэй	сүнс @@тэй
эгчийг	эгч @@ийг
архиа	архи @@а
хилэгнэл	хилэнгнэх @@л
хандах	хандах
ажилд	ажил @@д
үргүйдэх	үр @@гүй @@дэх
тохид	тохь @@д
бөмбөгийг	бөмбөг @@ийг
хуй	хуй
сорилттой	сорил @@той
бололцоо	болох @@лцоо
казиногийн	казино @@ийн
багсаар	багс @@аар
чулуунд	чулуу @@д
нөхөөснөөс	нөхөөс @@өөс
танкны	танк @@ы
эвслийг	эвсэх @@л @@ийг
дагалдах	дага @@лдах
организмоос	организм @@оос
саун	саун
өв	өв
услагчаар	ус @@лах @@гч @@аар
үүргээр	үүрэг @@ээр
туурайг	туурай @@г
хорхойг	хорхой @@г
цочролыг	цочрох @@л @@ыг
хоршлоос	хорших @@л @@оос
сонсогчоос	сонсох @@гч @@оос
хувьсагчаас	хувь @@сах @@гч @@аас
хоцрогчийн	хоцрох @@гч @@ийн
цардуултай	цардах @@уул @@тай
вирусээр	вирус @@ээр
заламгайгаар	заламгай @@аар
илгээмжийг	илгээх @@мж @@ийг
болзох	болзох
засварчинд	засах @@вчир @@д
амьжиргаа	амьжих @@ргаа
сэвийн	сэв @@ийн
зараатай	зараа @@тай
туурайтай	туурай @@тай
төвлөрлөөр	төв @@лрөх @@л @@өөр
эвдэчвэл	эвдэх @@чих @@вэл
шаазангийн	шаазан @@ийн
сэжүүр	сэжүүр
төр	төр
өмч	өмч
хурданд	хурд @@д
бэлэгт	бэлэг @@т
уйтгараас	уйтгар @@аас
материализм	материализм
дэлхийд	дэлхий @@д
залгаасны	залгах @@аас @@ы
хилэгнэлээр	хилэн @@гнэх @@л @@ээр
хэрүүлээр	хэрүүл @@ээр
хоньчинд	хонь @@чин @@д
хөлстэй	хөлс @@тэй
үгээр	үг @@ээр
майонез	майонез
сонсго	сонсго
саланги	саланги
голын	гол @@ын
гэмгүй	гэм @@гүй
дэвтэртэй	дэвтэр @@тэй
энгэртэй	энгэр @@тэй
залуур	залах @@уур
тусламжид	тус @@лах @@мж @@д
цохилтоо	цохих @@лт @@оо
хөөлгө	хөөх @@лөг
тулалдаанд	тулалдах @@аа @@д
араншингийн	араншин @@ийн
жоотуугаа	жоотуу @@аа
завхай	завхай
эсрэгцлээ	эсрэг @@цэх @@л @@ээ
мөрдөгчийг	мөр @@дөх @@гч @@ийг
цохисон	цохих @@сон
зогсолт	зогсох @@лт
майонезаас	майонез @@аас
орчуулгад	орчуулах @@га @@д
программ	программ
гагнуур	гагнуур
хуримтай	хурим @@тай
тавилга	тавих @@лга
харьцуулалтаас	харьцах @@уулах @@лт @@аас
будгийн	будаг @@ийн
чөлөөлөлтөөс	чөлөө @@лөх @@лт @@өөс
ёзоороор	ёзоор @@оор
эвлэрлээр	эв @@лэрэх @@л @@ээр
хувьсгал	хувь @@сгах @@л
хуулиас	хууль @@ас
бэлтгэлийг	бэлтгэх @@л @@ийг
шингэлтээ	шингэх @@лт @@ээ
луйварчинтай	луйвар @@чин @@тай
оромжоор	орох @@мж @@оор
онолчоо	онох @@лч @@оо
хариуцах	харих @@уу @@цах
хормоор	хором @@оор
ахлагчид	ах @@лах @@гч @@д
хүүхэлдэйгээр	хүүхэд @@лдэй @@ээр
зартай	зар @@тай
хашилтаа	хаш @@лт @@аа
цэгээс	цэг @@ээс
адраас	адар @@аас
дулааралгүй	дулаарах @@лгүй
протоколд	протокол @@д
соёлжтол	соёл @@жих @@л
эргүүл	эргэх @@үү
гурилд	гурил @@д
төлбөрийн	төлөх @@бөр @@ийн
гурвалаар	гурав @@л @@аар
цөлийг	цөл @@ийг
удмаас	удам @@аас
хийлээр	хийл @@ээр
мөнхөөр	мөнх @@өөр
задралаар	зад @@рах @@л @@аар
тусгаарлагдах	тусах @@гаар @@лах @@лга @@д
зүрх	зүрх
мэрэгчийг	мэрэх @@гч @@ийг
цэнгүүнд	цэнгэх @@үүн @@д
хэргээ	хэрэг @@ээ
дүрслэх	дүрс @@лэх
дамд	дам @@д
геологио	геологи
харамслаас	харамсах @@л @@аас
таргын	тарга @@ын
хашлаганаас	хаших @@лага @@аас
тайрах	тайрах
устгалд	устах @@гал @@д
тоосгоо	тоосго @@оо
сүүдрэвчийн	сүүдэр @@вч @@ийн
ажиллагаанд	ажил @@лах @@гаа @@д
цуглуулагчид	цуг @@лах @@уулах @@гч @@д
алчуураар	алчуур @@аар
хийлтэй	хийл @@тэй
даяаршъя	даяар @@ших @@я
тахиа	тахиа
хожуулаас	хожуул @@аас
глюкозтой	глюкоз @@той
тохиролцоо	тохирох @@лцох @@оо
зарлалаа	зар @@лах @@л @@аа
цэнгэлийн	цэнгэх @@л @@ийн
хөшье	хөшь
керамиктай	керамик @@тай
ороолтоос	ороох @@лт @@оос
бүрэлбаагаа	бүрэлбаа @@аа
тарих	тарих
цилиндрээс	цилиндр @@ээс
танк	танк
харьцуулалтад	харьцах @@уулах @@лт @@д
хямрах	хямрах
гуа	гуа
яарах	яарах
фермент	фермент
тайлбараар	тайл @@бар @@аар
амьжиргааны	амьжих @@ргаа @@ы
талбараас	талбар @@аас
бөөрийг	бөөр @@ийг
ресторанд	ресторан @@д
хорьсон	хорих @@сон
залгааг	залгах @@аа @@г
найрууламжаа	найрах @@уулах @@мж @@а
илрүүлэлт	илрэх @@үүлэх @@лт
нуруутай	нуруу @@тай
шохойжмогц	шохой @@жимогц
харуусал	харуусах @@л
социализмаа	социализм @@аа
зүлгүүрийн	зүлгэх @@үүр @@ийн
хожуулд	хожуул @@д
нөөцөө	нөөх @@ц @@өө
хангалтыг	хангах @@лт @@ыг
хөлд	хөл @@д
хольцод	холих @@ц @@д
мэдрэмж	мэдрэх @@мж
ухагдахуун	ухах @@гдах @@уун
спиртийг	спирт @@ийг
дилертэй	дилер @@тэй
өвөө	өвөө
дээрмийн	дээрэм @@ийн
мэдээлжээ	мэдэх @@ээ @@лж @@ээ
алуурчнаа	алуур @@чин @@аа
картад	карт @@д
хөршөө	хөрш @@өө
арштай	арш @@тай
хөлгийг	хөлөг @@ийг
заан	заан
хангах	хангах
цэрэг	цэрэг
дэгдэлтэд	дэгдэх @@лт @@д
харвингийн	харвин @@ийн
эргэлзлийн	эргэлзэх @@л @@ийн
хамгаалалд	хамгаалах @@л @@д
дайчилгаагаар	дайн @@члах @@га @@аар
чадварын	чадах @@вар @@ын
онцлогт	онц @@лог @@т
статистикийг	статистик @@ийг
амьдралтай	амь @@драх @@л @@тай
цэврүүгээр	цэврүү @@ээр
сонсох	сонсох
шивээсээс	шивээс @@ээс
туршуултай	турших @@уул @@тай
чангалуурын	чанга @@лах @@уур @@ын
анхааруулгын	анхаарах @@уулах @@лга @@ын
тэмцэл	тэмцэх @@л
бүтэлгүйтэлд	бүтэх @@лгүй @@д
зуунаа	зуун @@аа
зөрөлдөөнд	зөрөх @@лдөх @@өөн @@д
цамцны	цамц @@ы
бөндгөрийг	бөндгөр @@ийг
маргаанаа	маргаа @@аа
тохуугаар	тохуу @@аар
түгшүүрийг	түгших @@үүр @@ийг
төөрөлдөх	төөрөх @@лдөх
жараахайгаар	жараахай @@аар
дэнстэй	дэнс @@тэй
өвлөөс	өвөл @@өөс
орчуулгын	орчуулах @@га @@ын
үүдэнд	үүд @@д
сам	сам
араншинтай	араншин @@тай
халим	халим
компанитай	компани @@тай
кодоо	код @@оо
гундуу	гундуу
тангарагт	тангараг @@т
бодис	бодис
нимбэгээ	нимбэг @@ээ
фокусын	фокус @@ын
идэгдэх	идэх @@гдэх
улайрсан	улайрсан
мэдрэмжийг	мэдрэмж @@ийг
зайнаас	зай @@аас
хамсаатанд	хам @@саат @@д
цондонгоо	цондон @@оо
