enthrallments	enthrall @@ment @@s
bouncingly	bounce @@ing @@ly
preretail	pre @@re @@tail
combinedness	combine @@ed @@ness
synthdance	synth @@dance
clinchpoops	clinch @@poop @@s
Cromwellian	Cromwell @@ian
madrigalian	madrigal @@ian
unknights	un @@knight @@s
backgrounder	back @@ground @@er
warbirds	war @@bird @@s
restward	rest @@ward
diathermocoagulation	dia @@thermo @@coagulate @@ion
beautifuller	beauty @@ful @@er
lagerpetids	lagerpetid @@s
pargana	pargana
isoselenocyanates	iso @@selenocyanate @@s
selectively	select @@ive @@ly
subitising	subitise @@ing
vulsellums	vulsellum @@s
chloromanganese	chloro @@manganese
Kurd	Kurd
eugh	eugh
revendications	revendication @@s
untoileted	un @@toilete @@ed
bioscan	bio @@scan
ozonising	ozone @@ise @@ing
disenrolling	dis @@enroll @@ing
choreographing	choreograph @@ing
semi-nerdy	semi @@nerd @@y
inshaves	in @@shave @@s
oxids	oxid @@s
agrotechnology	agro @@techno @@logy
Yuanli	Yuanli
rootcaps	root @@cap @@s
grise	grise
salvestrol	salvestrol
paten	pate @@en
rugless	rug @@less
ansatz	ansatz
artefactualities	artefact @@al @@ity @@s
misplaying	mis @@play @@ing
pharyngolaryngites	pharyngolaryngite @@s
disinformers	dis @@in @@form @@er @@s
helminthics	helminth @@ic @@s
assertiveness	assert @@ive @@ness
backwashes	back @@wash @@s
chromoblots	chromo @@blot @@s
dramamine	dramamine
colourising	colour @@ise @@ing
cadinenyls	cadinene @@yl @@s
non-venomous	non @@venom @@ous
variegating	variegate @@ing
rhabdosarcomas	rhabdosarcoma @@s
copepodid	copepodid
thoughtlet	thought @@let
commonplaced	commonplace @@ed
photopolarimeters	photo @@polari @@meter @@s
organolithotrophs	organolithotroph @@s
endguts	end @@gut @@s
mesozoan	mesozoan
seamer	seam @@er
Guzhangian	Guzhang @@ian
cadettes	cadette @@s
creaturekind	create @@ure @@kind
disafforesting	dis @@afforest @@ing
oopsy	oopsy
spurging	spurge @@ing
Hypsipyle	Hypsipyle
fashionwise	fashion @@wise
Caoli	Caoli
mille-feuille	mille @@feuille
Beverly	Beverly
unbailable	un @@bail @@able
nectariniids	nectariniid @@s
neuromast	neuro @@mast
postorder	post @@order
clarinets	clarinet @@s
Malkoff	Malkoff
insurancer	in @@surance @@er
farblondjet	far @@blond @@jet
unported	un @@port @@ed
mist	mist
antivirotics	anti @@virus @@otic @@s
deconversion	de @@convert @@sion
dajjal	dajjal
fumblerooski	fumble @@rooski
kaitiaki	kaitiaki
subinoculations	sub @@inoculate @@ion @@s
aborters	abort @@er @@s
sophistication	sophism @@istion
Pisidia	Pisidia
monoamorous	mono @@amorous
bullionists	bullion @@ist @@s
Koepangers	Koepanger @@s
cowpat	cow @@pat
balkanised	balkanise @@ed
antaphrodisiac	antaphrodisiac
metanephrines	meta @@nephro @@ine @@s
Champlain	Champlain
gyrolites	gyro @@lite @@s
metacingulum	meta @@cingulum
Looshans	Looshan @@s
cyclopentyls	cyclo @@pentane @@yl @@s
choledocholithotripsies	choledocholithotripsis @@s
drily	dry @@ly
phosphorgummite	phosphorgummite
varying	vary @@ing
ungassed	un @@gas @@ed
deprescribes	de @@prescribe @@s
Shangrao	Shangrao
hierarchisms	hierarch @@ism @@s
fullfeeding	full @@feed @@ing
polyhexes	poly @@hex @@s
regressively	regress @@ive @@ly
figitumumab	figitumumab
photoblinking	photo @@blink @@ing
ectypography	ectype @@graphy
cokernel	cokernel
pidged	pidge @@ed
lister	list @@er
Hinduize	Hindu @@ize
whap	whap
seekest	seek @@est
requirements	require @@ment @@s
upfaulting	up @@fault @@ing
archivolted	archivolt @@ed
pagurids	pagurid @@s
comminglingly	com @@ing @@le @@ing @@ly
phosphonating	phosphonate @@ing
Euterpean	Euterpe @@an
fluorspars	fluor @@spar @@s
geoslavery	geo @@slave @@ery
neurofollicular	neuro @@follicle @@ar
demiurgical	demiurgy @@ical
austempered	austemper @@ed
multimurder	multi @@murder
ridgy	ridge @@y
compurgation	compurgate @@ion
trimagic	tri @@magic
nonacidity	non @@acid @@ity
forcefulnesses	force @@ful @@ness @@s
restages	re @@stage @@s
bonobo	bonobo
subbrand	sub @@brand
hardhanded	hard @@hand @@ed
unbedding	un @@bed @@ing
dehairer	de @@hair @@er
dirtied	dirty @@ed
ulterior	ulterior
organophosphoryl	organo @@phosphor @@yl
saddlenoses	saddle @@nosis @@s
hugbox	hug @@box
tractators	tractator @@s
anthracoxenite	anthracoxenite
hydromica	hydro @@mica
dephlegming	de @@phlegm @@ing
colourbearers	colour @@bear @@er @@s
meroplanktonic	mero @@plankton @@ic
manspreader	man @@spread @@er
Kishinyov	Kishinyov
Jemima	Jemima
rigorisation	rigory @@isation
Wemple	Wemple
lasagna	lasagna
herbaceuticals	herbaceutical @@s
multiparent	multi @@parent
aluminohydrides	alumino @@hydride @@s
motiligrams	motiligram @@s
oxomutase	oxo @@mutate @@ase
tranquilities	tranquility @@s
sternutatorics	sternutatoric @@s
inequivalve	in @@equi @@valve
megaraptorids	mega @@raptorid @@s
disfavor	dis @@favor
cornercaps	corner @@cap @@s
oopart	oopart
uncountability	un @@count @@ability
boreens	boreen @@s
outcoach	out @@coach
despumates	despumate @@s
multisingularity	multi @@singular @@ity
thegnhoods	thegn @@hood @@s
reestablishing	re @@establish @@ing
self-control	self @@control
pronoids	pronoid @@s
minbar	min @@bar
revamping	re @@vamp @@ing
lactucarium	lactucarium
dabaos	dabao @@s
fibbing	fib @@ing
satisfier	satisfy @@er
pathshala	pathshala
Jiaozuo	Jiaozuo
camsal	camsal
congruity	congrue @@ity
nawabships	nawab @@ship @@s
countedness	count @@ed @@ness
chutney	chutney
restfulnesses	rest @@ful @@ness @@s
chalazal	chalazal
appertainest	appertain @@est
sportules	sportule @@s
substantivises	substantive @@ise @@s
marabou	marabou
scioltos	sciolto @@s
hepatalgia	hepato @@algia
midtendon	mid @@tendon
oncometers	onco @@meter @@s
demolished	de @@molish @@ed
dirtyards	dirt @@yard @@s
Propontis	Propontis
abreptions	abreption @@s
microorganism	micro @@organ @@ism
fair-handed	fair @@handed
fructuations	fructuation @@s
arthrostomy	arthro @@stomy
ganking	gank @@ing
bedamning	be @@damn @@ing
Woomera	Woomera
bashedness	bash @@ed @@ness
boastless	boast @@less
morosis	morosis
unvivid	un @@vivid
whatsername	whatsername
aromaed	aroma @@ed
bathocuproine	batho @@cuproine
adularescence	adularescent @@ence
dwarfism	dwarf @@ism
bioinsecticides	bio @@insect @@icide @@s
deliquifiers	de @@liquid @@ify @@er @@s
Lazarites	Lazarite @@s
micromhos	micro @@mhos
gambleth	game @@le @@eth
airlock	air @@lock
johnboaters	johnboat @@er @@s
waughs	waugh @@s
bewildereth	be @@wilder @@eth
bees	bee @@s
paracenteses	para @@centesis @@s
coventrating	coventrate @@ing
tanyderids	tanyderid @@s
relayer	re @@lay @@er
Raffi	Raffi
infixions	infix @@ion @@s
anatidaephobia	anatidae @@phobia
sublattice	sub @@lattice
caballers	caball @@er @@s
worldmates	world @@mate @@s
rancorless	rancor @@less
Geung	Geung
misclassifies	mis @@class @@ify @@s
stereoconversions	stereo @@conversion @@s
Maliszewski	Maliszewski
cunnilingated	cunnilingate @@ed
hymnings	hymning @@s
aerohygrophilous	aero @@hygro @@philous
orthographers	orthographer @@s
girlfags	girl @@fag @@s
re-enforcement	re @@en @@force @@ment
raajmahals	raajmahal @@s
ferrocarbons	ferro @@carbon @@s
saliency	saliency
resourceful	re @@source @@ful
immunostressors	immuno @@stress @@or @@s
nonurological	non @@uro @@logy @@ical
forslips	for @@slip @@s
photoheliography	photo @@helio @@graphy
mistristing	mis @@trist @@ing
godwits	godwit @@s
townsman	town @@man
Charlieplexing	Charlieplex @@ing
magnox	magnox
unschismatic	un @@schism @@atic
emotionlessly	emote @@ion @@less @@ly
sadists	sadism @@ist @@s
mu-meson	mu @@meson
stinges	stinge @@s
seemers	seem @@er @@s
skinfluencers	skinfluence @@er @@s
mountest	mount @@est
kanagi	kanagi
Warholites	Warholite @@s
chappesses	chap @@ess @@s
overreplication	over @@replicate @@ion
fooling	fool @@ing
sonority	sonority
purely	pure @@ly
pseudoangle	pseudo @@angle
skelling	skell @@ing
milktaches	milktach @@s
pulmonitis	pulmonitis
periretinal	peri @@retinal
abusedly	ab @@use @@ed @@ly
adfected	adfect @@ed
undercar	under @@car
cyttids	cyttid @@s
headdesked	head @@desk @@ed
orthian	orthus @@ian
semic	seme @@ic
GOMER	GOMER
dispersities	disperse @@ity @@s
abwabs	abwab @@s
tunneller	tunnel @@er
protosexual	proto @@sex @@ual
overabounded	over @@abound @@ed
lubed	lube @@ed
Feng-t'ai	Feng @@t'ai
Kharijites	Kharijite @@s
coregency	co @@regent @@cy
copyists	copy @@ist @@s
accessless	access @@less
azidosugars	azidosugar @@s
clipsheets	clip @@sheet @@s
Netherlandish	Nether @@land @@ish
aeoniums	aeonium @@s
Hippodamia	Hippodamia
anethols	anethol @@s
vestrywoman	vestry @@woman
Karnik	Karnik
ultralean	ultra @@lean
leporid	leporid
lexically	lexic @@ally
organoboronates	organo @@boronate @@s
imepitoin	imepitoin
sensation	sense @@ation
classicizes	class @@ic @@ize @@s
Cott	Cott
mythconceptions	mythconception @@s
downtowners	down @@town @@er @@s
imbat	imbat
courlans	courlan @@s
nixes	nix @@s
Vyacheslav	Vyacheslav
paleolatitude	paleo @@latitude
retousles	re @@touse @@le @@s
bookplating	book @@plate @@ing
mums	mum @@s
serdabs	serdab @@s
gunging	gung @@ing
unleads	un @@lead @@s
anti-vaxxing	anti @@vax @@ing
signalings	signaling @@s
milkable	milk @@able
capnometry	capno @@metry
nonsequels	non @@sequel @@s
tanzanite	tanzanite
reequilibrated	re @@equilibrate @@ed
proforms	proform @@s
stithies	stith @@y @@s
haptoglobulins	haptoglobulin @@s
whanghees	whanghee @@s
dacoity	dacoity
Scorpion	Scorpion
Retr0brighted	Retr0right @@ed
equivalves	equi @@valve @@s
suitingly	suit @@ing @@ly
hypoechoic	hypo @@echo @@ic
microbialitic	microbe @@ial @@itis @@ic
maidservants	maidserve @@ant @@s
cosleeping	co @@sleep @@ing
McNelis	McNelis
taverna	taverna
calendars	calendar @@s
agamic	a @@gamy @@ic
waterplane	water @@plane
culdotomies	culdo @@tomy @@s
microserrated	micro @@serrate @@ed
erythroplakic	erythro @@plakic
ilities	ile @@ity @@s
kilodisintegrations	kilo @@dis @@integrate @@ion @@s
Tush	Tush
preabsorb	pre @@absorb
khansamans	khansaman @@s
spallable	spall @@able
Sachse	Sachse
ignorantisms	ignore @@ant @@ism @@s
Pergamon	Pergamon
jaggery	jag @@ery
lounge-goer	lounge @@go @@er
parure	para @@ure
adzes	adze @@s
acidified	acid @@ify @@ed
rumpus	rumpus
nanogaps	nano @@gap @@s
refels	refel @@s
pigfaces	pig @@face @@s
bedazed	be @@daze @@ed
bannination	banno @@ine @@ation
wakabayashilite	wakabayashilite
backhouses	back @@house @@s
topoanalytical	topo @@analysis @@ic @@al
depositum	depositum
memospheres	memo @@sphere @@s
organophilic	organo @@philic
uphanging	up @@hang @@ing
cryopreservable	cryo @@preserve @@able
dishearting	dis @@heart @@ing
beetled	bite @@le @@ed
tetrachotomies	tetracho @@tomy @@s
macrowear	macro @@wear
Poblano	Poblano
Janjaweed	Janjawee @@ed
topnotchers	topnotch @@er @@s
instantizer	instant @@ize @@er
quasiorder	quasi @@order
boracium	boro @@ace @@ium
decrumbs	decrumb @@s
Zhabei	Zhabei
revascularized	re @@vascular @@ize @@ed
nondeodorized	non @@deodorize @@ed
Maran	Maran
cockblocking	cock @@block @@ing
lateroversion	latero @@vert @@sion
crystallograms	crystallogram @@s
synantherologists	synantherologist @@s
subrectangular	sub @@rectangle @@ar
eccentrized	ex @@centrize @@ed
depacker	de @@pack @@er
smartpens	smartpen @@s
lacteous	lacteous
Zoltan	Zoltan
unimputed	un @@impute @@ed
Alcmanian	Alcman @@ian
doxibetasol	doxi @@betasol
restrengthens	re @@strong @@th @@en @@s
opplete	opplete
amphiequatorial	amphiequal @@ate @@or @@ial
dimensionalizes	dimension @@al @@ize @@s
Azerbaijan	Azerbaijan
Wodehousean	Wodehouse @@an
nonaccompanying	non @@accompany @@ing
serums	serum @@s
journeyman	journey @@man
omlah	omlah
outfinishing	out @@finish @@ing
sluthood	slut @@hood
megacompany	mega @@company
interdash	inter @@dash
semicentennials	semi @@cent @@ennial @@s
nonfilters	non @@filter @@s
gobar	gobar
electricity	electric @@ity
monorchids	monorchid @@s
convented	convent @@ed
circley	circley
pyromanic	pyro @@mania @@ic
movlogs	movlog @@s
halides	haloge @@s
hitherward	hither @@ward
buttbreath	butt @@breath
Thomas	Thomas
domesticants	domesticant @@s
boycottees	boycottee @@s
vitreoretinopathy	vitreo @@retina @@pathy
melagabbro	melagabbro
goniometers	goniometer @@s
guideth	guid @@eth
transarteriolar	trans @@arteriole @@ar
megalichthyiforms	megalichthyiform @@s
unburgled	un @@burgle @@ed
duotheistic	duo @@theism @@istic
HVGCs	HVGC @@s
Voldy	Voldy
electroscrap	electro @@scrap
supratherapeutically	supra @@therapy @@ic @@ally
botulism	botula @@ism
Lyraids	Lyraid @@s
puppies	pup @@y @@s
basementlike	basement @@like
vastus	vastus
Freddie	Fred @@ie
paerucumarin	paerucumarin
vesuviates	vesuviate @@s
antimeridians	anti @@meridian @@s
ingeminate	ingeminate
inhumanly	inhuman @@ly
scrutinisers	scrutiniser @@s
picoplanktonic	pico @@plankton @@ic
whizzbangs	whizzbang @@s
aerosolizes	aero @@sol @@ize @@s
speedrun	speedrun
podophyllum	podophyllum
trenchantness	trenchant @@ness
amounding	amound @@ing
nodalised	nodalise @@ed
uncases	un @@case @@s
peribronchial	peri @@bronchus @@ial
panton	panton
mitigatable	mitigate @@able
transcavitary	trans @@cavitary
nonproteasomal	non @@proteasome @@al
reperuses	reper @@use @@s
testimonializing	testimony @@al @@ize @@ing
Gnosticisms	Gnostic @@ism @@s
simplisticness	simple @@ist @@ic @@ness
Taigu	Taigu
relvar	relvar
saltiphones	saltiphone @@s
workable	work @@able
carnapped	carnap @@ed
excerned	excern @@ed
ascribes	ascribe @@s
dispensest	dispense @@est
Norfolks	Norfolk @@s
busways	bus @@way @@s
weewees	wee @@wee @@s
hegemonist	hegemon @@y @@ist
nonorbital	non @@orbit @@al
untravellable	un @@travel @@able
semiexoskeleton	semi @@exoskeleton
consumerizing	consume @@er @@ize @@ing
trimethylpyridines	tri @@methyl @@pyridine @@s
Addams	Addam @@s
Melinoe	Melinoe
hydrographics	hydro @@graphy @@ics
syntacticizing	syntax @@ic @@ize @@ing
betrusts	be @@trust @@s
monoprinting	mono @@print @@ing
lamentability	lament @@ability
neurodisorders	neuro @@dis @@order @@s
sinopers	sinoper @@s
intraruminal	intra @@rumen @@al
audiencias	audiencia @@s
leshy	lesh @@y
macrospark	macro @@spark
microcinema	micro @@cinema
figgeries	fig @@ery @@s
shrow	shrow
infills	in @@fill @@s
subscribings	subscribing @@s
thallous	thallous
swedges	swedge @@s
choleates	choleic @@ate @@s
antimonotone	anti @@mono @@tone
full-souled	full @@soul @@ed
halftoning	half @@tone @@ing
irritableness	irritable @@ness
paleorivers	paleoriver @@s
banda	banda
nonpoisonous	non @@poison @@ous
polyion	poly @@ion
slingshotting	sling @@shot @@ing
pangene	pangene
dickbrains	dick @@brain @@s
Ingrian	Ingrian
washeth	wash @@eth
antitachyarrhythmia	anti @@tachyarrhythmia
subsocial	sub @@social
remingles	re @@ming @@le @@s
e-ballot	e @@ballot
rechew	re @@chew
Janites	Jan @@ite @@s
unsmeared	un @@smear @@ed
grievands	grievand @@s
methylenomycins	methylenomycin @@s
avialian	avialian
macroparasitic	macro @@parasite @@ic
boardrooms	board @@room @@s
megafoot	mega @@foot
Luas	Luas
misloading	mis @@load @@ing
scumble	scumble
overplating	over @@plate @@ing
treating	treat @@ing
canonize	canon @@ize
fuckmates	fuck @@mate @@s
oversensitive	over @@sensitive
flopsweats	flop @@sweat @@s
ileectomies	ileo @@ectomy @@s
eigenoscillations	eigen @@oscillate @@ion @@s
refumigating	re @@fumigate @@ing
marmesinin	marmesinin
kinetochore	kineto @@chore
irp	irp
fossilology	fossil @@ology
futuramas	futurama @@s
liquefact	liquefact
bufoniform	bufoniform
endoventricular	endo @@ventricle @@ar
cryoimmunolabeling	cryo @@immuno @@label @@ing
microglitches	micro @@glitch @@s
helmet	helm @@et
ketoadipyl	keto @@adipyl
blattarians	blattarian @@s
overclocking	over @@clock @@ing
lapunyah	lapunyah
lysergide	lysergide
gibbosity	gibbosity
cannibalism	cannibal @@ism
exclusion	exclude @@ion
solenoid	solene @@oid
elocuted	elocute @@ed
tarryings	tarrying @@s
sargability	sargable @@ity
footstooled	foot @@stool @@ed
microbiomes	micro @@bio @@ome @@s
thyroidotomies	thyroid @@otomy @@s
Maci	Maci
trainmaster	train @@mast @@er
metastoma	meta @@stoma
vinted	vint @@ed
Chanelism	Chanel @@ism
naggy	nag @@y
rhetic	rhetic
headborough	head @@borough
drumhead	drum @@head
nanomolecules	nano @@molecule @@s
Billster	Billster
sentimentalisers	sentimentaliser @@s
nondormitory	non @@dormitory
flatnesses	flat @@ness @@s
spirochetolytic	spiro @@cheto @@lytic
paysages	payse @@age @@s
anhyzers	an @@hyze @@er @@s
enticed	entice @@ed
pentapeptide	penta @@peptide
egological	egology @@ical
subisotype	sub @@iso @@type
usager	use @@ager
calleting	callet @@ing
vaccinal	vaccine @@al
chloroethylenes	chloro @@ethylene @@s
underseasoning	under @@season @@ing
rejuvenated	rejuvenate @@ed
Tran	Tran
schleppers	schlep @@er @@s
infonaut	info @@naut
napoleon	napoleon
indemnifieth	indemn @@ify @@eth
antihyperlipidemics	anti @@hyper @@lipidemia @@ic @@s
plastin	plastin
hiped	hipe @@ed
trispasts	trispast @@s
Dumnonians	Dumnon @@ian @@s
thermostabilize	thermo @@stable @@ize
mescaline	mescaline
lazzo	lazzo
boardgamey	board @@game @@y
electrising	electrise @@ing
alevins	alevin @@s
rejogs	rejog @@s
hexachlorobiphenyl	hexachlorobiphenyl
yams	yam @@s
centromeres	centro @@mere @@s
masthouse	mast @@house
antiparliamentary	anti @@parliament @@ary
shoutline	shout @@line
leucocytozoonosis	leuco @@cyto @@zoonosis
outtrump	out @@trump
parietotemporal	parieto @@temporal
haematopinids	haematopinid @@s
metapelets	meta @@pelet @@s
kokumi	kokumi
breakdancing	breakdance @@ing
swanbills	swan @@bill @@s
inspectours	inspectour @@s
kaniggets	kanigget @@s
supervirus	supervirus
nonresponsiveness	non @@response @@ive @@ness
monomyth	mono @@myth
roused	rouse @@ed
descalers	descale @@er @@s
pyrin	pyrin
visards	visard @@s
millionairess	million @@air @@ess
populationless	populate @@ion @@less
dockman	dock @@man
megablockbuster	mega @@blockbuster
indites	indite @@s
melanures	melanure @@s
pearlier	pearl @@y @@er
unmoveable	un @@move @@able
block	block
tonners	ton @@er @@s
papionins	papionin @@s
encage	en @@cage
franklinized	franklinize @@ed
anaesthetician	anaesthetic @@ian
midoccipital	mid @@occipital
weediest	weed @@y @@est
uphers	upher @@s
unmirrored	un @@mirror @@ed
dailies	daily @@s
mischunks	mischunk @@s
nonghetto	non @@ghetto
pending	pend @@ing
nanoprocessors	nano @@process @@or @@s
chaptalization	chaptal @@ization
consecration	consecrate @@ion
ratcatching	rat @@catch @@ing
Colt	Colt
foreign-born	foreign @@born
skymaps	skymap @@s
aconidial	aconidial
microneuronal	micro @@neuron @@al
Sereda	Sereda
vitellin	vitella @@in
geobiology	geo @@biology
civilisationally	civil @@isation @@al @@ly
Ushkoff	Ushkoff
cimoliasaurids	cimoliasaurid @@s
colonizing	colony @@ize @@ing
Britishizes	Britain @@ish @@ize @@s
pessimistically	pessimism @@istic @@ally
geothermically	geo @@therm @@ic @@ally
plesionymy	plesio @@onymy
triunity	tri @@unite @@y
macroscale	macro @@scale
egregors	egregor @@s
Graeco-Armenian	Graeco @@Armen @@ian
massymore	massymore
basecalls	base @@call @@s
virtuates	virtuate @@s
photoassimilates	photo @@assimilate @@s
moulin	moulin
nymshifts	nym @@shift @@s
formells	for @@mell @@s
tetrachloroethylene	tetrachloroethylene
rasclots	rasclot @@s
thalwege	thalwege
bungo	bungo
kionoceratids	kionoceratid @@s
glycyls	glycine @@yl @@s
blackmouth	black @@mouth
neurosuppressive	neuro @@suppress @@ive
attestor	attest @@or
barstooler	barstool @@er
arch-heresy	arch @@heresy
antisymmetrical	anti @@syn @@metry @@ical
personator	person @@ate @@or
maricon	maricon
beamshelves	beam @@shelf @@s
appaumé	appaumé
rerubs	re @@rub @@s
quinquecostate	quinque @@costate
rayleigh	ray @@leigh
subvectors	sub @@vector @@s
credibleness	credible @@ness
uncoordinated	un @@coordinate @@ed
polysystemic	poly @@system @@ic
inseen	insee @@en
urinatory	urine @@atory
thermomass	thermo @@mass
Serbianhood	Serb @@ian @@hood
mindings	minding @@s
condemned	condemn @@ed
admonishes	admonish @@s
casefile	case @@file
trophocytes	tropho @@cyte @@s
nullifiest	null @@ify @@est
Laszlo	Laszlo
ungum	un @@gum
interregulated	inter @@regulate @@ed
deculturalizing	de @@culture @@al @@ize @@ing
gunsmiths	gun @@smith @@s
picrocarmine	picro @@carmine
jacquesdietrichite	jacquesdietrichite
anticlog	anti @@clog
hypercardioid	hyper @@cardioid
butterman	butt @@er @@man
Llorente	Llorente
intolerableness	intolerate @@able @@ness
cybercensorship	cyber @@cense @@or @@ship
multifunctionalization	multi @@function @@al @@ization
miscontented	mis @@content @@ed
counternormatively	counter @@norm @@ative @@ly
nucleolic	nucleolic
unfrivolous	un @@frivol @@ous
mouth harpist	mouth harp @@ist
antiplague	anti @@plague
subaid	sub @@aid
pimpernel	pimpernel
prozionists	prozion @@ist @@s
achlamydeous	achlamydeous
tetriamond	tetriamond
veenite	veen @@ite
welladays	welladay @@s
timeslotted	time @@slot @@ed
vicinages	vicinage @@s
railmotor	rail @@motor
nontungsten	non @@tungsten
gobstoppers	gobstop @@er @@s
nontrauma	non @@trauma
ritualise	ritual @@ise
knightliness	knight @@ly @@ness
carpents	carpent @@s
roadbase	road @@base
beeswaxes	bee @@swax @@s
faradopalpations	faradopalpation @@s
blissfulness	bliss @@ful @@ness
Hibernophobes	Hiberno @@phobe @@s
clawful	claw @@ful
sorn	sorn
OFEX	OFE
encoldened	en @@colden @@ed
shittlecocks	shittle @@cock @@s
uncheated	un @@cheat @@ed
nonshiftable	non @@shift @@able
wames	wame @@s
larrykins	larrykin @@s
theogamy	theo @@gamy
clupanodonic	clupanodonic
curtails	curtail @@s
seminars	seminar @@s
rhinopharynx	rhino @@pharynx
churchies	church @@y @@s
leis	leis
polymatrix	poly @@matrix
roadsider	roadside @@er
Cloelia	Cloelia
disvirgins	dis @@virgin @@s
downflexings	downflexing @@s
babians	babian @@s
pequi	pequi
astatki	astatki
Danophones	Dano @@phone @@s
endolarynx	endo @@larynx
minerals	mineral @@s
paradoxicality	paradox @@ic @@al @@ity
nanomanufacture	nano @@manufacture
emergence	emerge @@ence
hypervalencies	hyper @@valent @@cy @@s
lebkuchens	lebkuchen @@s
perchlorates	perch @@lorine @@ate @@s
panclastite	panclastite
danims	danim @@s
psychohydraulics	psycho @@hydraulic @@s
euphonies	euphony @@s
deathbed	death @@bed
paracrystals	para @@crystal @@s
crepuscularities	crepuscular @@ity @@s
Braun	Braun
subfeu	sub @@feu
unphotoshopped	un @@photo @@shop @@ed
limitarianism	limit @@ary @@an @@ism
multiriver	multi @@rive @@er
unsexualize	un @@sex @@ual @@ize
Muradyan	Muradyan
Belgium	Belgium
herps	herp @@s
Bengaliness	Bengal @@y @@ness
undoubtlessly	un @@doubt @@less @@ly
hemokinins	hemokinin @@s
omniphobia	omni @@phobia
bindin	bindin
mammoglobins	mammoglobin @@s
atscape	at @@scape
conchiglioni	conchiglioni
interposals	interposal @@s
osteodystrophy	osteo @@dys @@trophy
anhemitonic	an @@hemi @@tone @@ic
nonassent	non @@assent
antisuit	anti @@suit
anthropometer	anthropo @@meter
webfooted	web @@foot @@ed
stoichiometrically	stoichiometric @@ally
vandalproof	vandal @@proof
mudangs	mudang @@s
plumicorn	plumicorn
suitheistic	suitheism @@ist @@ic
campily	camp @@y @@ly
odourscapes	odour @@scape @@s
pourtrays	pourtray @@s
autoapomorphy	auto @@apomorphy
spinofections	spino @@fection @@s
shadowinesses	shadow @@y @@ness @@s
cnawvshawls	cnawvshawl @@s
hysterophytal	hystero @@phyte @@al
blankable	blank @@able
sottishnesses	sot @@ish @@ness @@s
kudurru	kudurru
geländesprungs	geländesprung @@s
necklands	neck @@land @@s
rhynchodaeum	rhynchodaeum
defederation	defederate @@ion
ended	end @@ed
marchantins	marchantin @@s
interofficing	inter @@office @@ing
dechunked	de @@chunk @@ed
Swissess	Swiss @@ess
proudnesses	proud @@ness @@s
presyncopes	pre @@syncope @@s
Murtagh	Murtagh
namby-pambical	namby @@pambic @@al
leafiest	leaf @@y @@est
minettes	minette @@s
pneumoallergen	pneumo @@allergen
unhorned	un @@horn @@ed
iminohydrolases	iminohydrolase @@s
pupariated	pupariate @@ed
chromatomap	chromato @@map
zettasiemens	zettasiemen @@s
conformism	conform @@ism
manganocolumbite	mangano @@columbite
hypovirilization	hypo @@virile @@ization
bearwards	bear @@wards
twittingly	twit @@ing @@ly
uptitrated	up @@titrate @@ed
tautomerases	taut @@o @@mer @@ase @@s
bepurples	be @@purple @@s
antihydrogen	anti @@hydrogen
ovarium	ovary @@ium
hectoampere	hecto @@ampere
aerosinusitis	aero @@sinus @@itis
leadened	lead @@en @@ed
